[2026-01-28 13:36:35][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04b/exp02/train_20260128_133635_gpu2_pid3368688.log
[2026-01-28 13:36:35][INFO] 进程 PID: 3368688
[2026-01-28 13:36:35][INFO] ========== PINN 训练开始 ==========
[2026-01-28 13:36:35][INFO] 物理项权重 λ_pde = 0.5
[2026-01-28 13:36:35][INFO] 使用设备: cuda
[2026-01-28 13:36:35][INFO] 训练参数: {'lambda_pde': 0.5, 'epochs': 120, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.03, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04b/exp02', 'ckpt_dir': 'checkpoints/M04b/exp02'}
[2026-01-28 13:36:35][INFO] 数据集大小: 141 cases
[2026-01-28 13:36:35][INFO] 每 case 采样点数: 320000
[2026-01-28 13:36:37][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-28 13:36:37][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-28 15:36:19][INFO] [Epoch 046] Loss=0.070364 | PDE=0.010803 | λ_pde=1.296e-01 | LR=2.50e-03
[2026-01-28 15:38:51][INFO] [Epoch 047] Loss=0.071132 | PDE=0.016330 | λ_pde=1.258e-01 | LR=2.50e-03
[2026-01-28 15:41:28][INFO] [Epoch 048] Loss=0.070278 | PDE=0.008705 | λ_pde=1.221e-01 | LR=2.50e-03
[2026-01-28 15:44:03][INFO] [Epoch 049] Loss=0.069696 | PDE=0.008972 | λ_pde=1.185e-01 | LR=2.50e-03
[2026-01-28 15:46:36][INFO] [Epoch 050] Loss=0.069513 | PDE=0.009957 | λ_pde=1.150e-01 | LR=2.50e-03
[2026-01-28 15:49:10][INFO] [Epoch 051] Loss=0.069819 | PDE=0.010522 | λ_pde=1.116e-01 | LR=2.50e-03
[2026-01-28 15:51:49][INFO] [Epoch 052] Loss=0.069490 | PDE=0.011529 | λ_pde=1.083e-01 | LR=2.50e-03
[2026-01-28 15:54:25][INFO] [Epoch 053] Loss=0.069336 | PDE=0.011224 | λ_pde=1.051e-01 | LR=2.50e-03
[2026-01-28 15:57:01][INFO] [Epoch 054] Loss=0.069291 | PDE=0.012176 | λ_pde=1.020e-01 | LR=2.50e-03
[2026-01-28 15:59:35][INFO] [Epoch 055] Loss=0.069545 | PDE=0.015979 | λ_pde=9.895e-02 | LR=2.50e-03
[2026-01-28 16:02:09][INFO] [Epoch 056] Loss=0.069962 | PDE=0.018696 | λ_pde=9.602e-02 | LR=2.50e-03
[2026-01-28 16:04:46][INFO] [Epoch 057] Loss=0.068979 | PDE=0.012860 | λ_pde=9.319e-02 | LR=2.50e-03
[2026-01-28 16:07:19][INFO] [Epoch 058] Loss=0.068801 | PDE=0.013595 | λ_pde=9.043e-02 | LR=2.50e-03
[2026-01-28 16:09:57][INFO] [Epoch 059] Loss=0.069267 | PDE=0.015833 | λ_pde=8.776e-02 | LR=2.50e-03
[2026-01-28 16:12:34][INFO] [Epoch 060] Loss=0.068799 | PDE=0.016728 | λ_pde=8.517e-02 | LR=2.50e-03
[2026-01-28 16:15:10][INFO] [Epoch 061] Loss=0.068969 | PDE=0.017513 | λ_pde=8.265e-02 | LR=2.50e-03
[2026-01-28 16:17:45][INFO] [Epoch 062] Loss=0.069085 | PDE=0.019522 | λ_pde=8.021e-02 | LR=2.50e-03
[2026-01-28 16:20:21][INFO] [Epoch 063] Loss=0.069559 | PDE=0.019968 | λ_pde=7.784e-02 | LR=2.50e-03
[2026-01-28 16:22:59][INFO] [Epoch 064] Loss=0.068404 | PDE=0.017633 | λ_pde=7.554e-02 | LR=2.50e-03
[2026-01-28 16:25:33][INFO] [Epoch 065] Loss=0.068375 | PDE=0.018689 | λ_pde=7.330e-02 | LR=2.50e-03
[2026-01-28 16:28:10][INFO] [Epoch 066] Loss=0.068095 | PDE=0.018996 | λ_pde=7.114e-02 | LR=2.50e-03
[2026-01-28 16:30:49][INFO] [Epoch 067] Loss=0.068419 | PDE=0.021060 | λ_pde=6.903e-02 | LR=2.50e-03
[2026-01-28 16:33:21][INFO] [Epoch 068] Loss=0.068648 | PDE=0.023637 | λ_pde=6.699e-02 | LR=2.50e-03
[2026-01-28 16:36:00][INFO] [Epoch 069] Loss=0.068032 | PDE=0.022009 | λ_pde=6.501e-02 | LR=2.50e-03
[2026-01-28 16:38:37][INFO] [Epoch 070] Loss=0.068328 | PDE=0.023171 | λ_pde=6.309e-02 | LR=2.50e-03
[2026-01-28 16:41:10][INFO] [Epoch 071] Loss=0.068389 | PDE=0.025554 | λ_pde=6.123e-02 | LR=2.50e-03
[2026-01-28 16:43:48][INFO] [Epoch 072] Loss=0.068156 | PDE=0.025414 | λ_pde=5.942e-02 | LR=2.50e-03
[2026-01-28 16:46:19][INFO] [Epoch 073] Loss=0.068023 | PDE=0.026028 | λ_pde=5.766e-02 | LR=2.50e-03
[2026-01-28 16:48:56][INFO] [Epoch 074] Loss=0.067565 | PDE=0.026845 | λ_pde=5.596e-02 | LR=2.50e-03
[2026-01-28 16:51:34][INFO] [Epoch 075] Loss=0.067602 | PDE=0.028024 | λ_pde=5.430e-02 | LR=2.50e-03
[2026-01-28 16:54:10][INFO] [Epoch 076] Loss=0.067603 | PDE=0.028730 | λ_pde=5.270e-02 | LR=2.50e-03
[2026-01-28 16:56:44][INFO] [Epoch 077] Loss=0.067523 | PDE=0.030822 | λ_pde=5.114e-02 | LR=2.50e-03
[2026-01-28 16:59:18][INFO] [Epoch 078] Loss=0.067557 | PDE=0.031544 | λ_pde=4.963e-02 | LR=2.50e-03
[2026-01-28 17:01:55][INFO] [Epoch 079] Loss=0.067218 | PDE=0.031945 | λ_pde=4.816e-02 | LR=2.50e-03
[2026-01-28 17:04:34][INFO] [Epoch 080] Loss=0.067243 | PDE=0.033607 | λ_pde=4.674e-02 | LR=2.50e-03
[2026-01-28 17:07:09][INFO] [Epoch 081] Loss=0.067392 | PDE=0.036975 | λ_pde=4.536e-02 | LR=2.50e-03
[2026-01-28 17:09:44][INFO] [Epoch 082] Loss=0.066985 | PDE=0.035936 | λ_pde=4.402e-02 | LR=2.50e-03
[2026-01-28 17:12:19][INFO] [Epoch 083] Loss=0.066928 | PDE=0.037105 | λ_pde=4.272e-02 | LR=2.50e-03
[2026-01-28 17:14:55][INFO] [Epoch 084] Loss=0.066940 | PDE=0.039899 | λ_pde=4.145e-02 | LR=2.50e-03
[2026-01-28 17:17:34][INFO] [Epoch 085] Loss=0.067499 | PDE=0.055199 | λ_pde=4.023e-02 | LR=2.50e-03
[2026-01-28 17:20:08][INFO] [Epoch 086] Loss=0.067538 | PDE=0.043145 | λ_pde=3.904e-02 | LR=2.50e-03
[2026-01-28 17:22:44][INFO] [Epoch 087] Loss=0.066426 | PDE=0.041341 | λ_pde=3.789e-02 | LR=2.50e-03
[2026-01-28 17:25:18][INFO] [Epoch 088] Loss=0.066544 | PDE=0.044519 | λ_pde=3.677e-02 | LR=2.50e-03
[2026-01-28 17:27:54][INFO] [Epoch 089] Loss=0.066463 | PDE=0.047183 | λ_pde=3.568e-02 | LR=2.50e-03
[2026-01-28 17:30:28][INFO] [Epoch 090] Loss=0.066553 | PDE=0.049095 | λ_pde=3.463e-02 | LR=2.50e-03
[2026-01-28 17:33:02][INFO] [Epoch 091] Loss=0.066664 | PDE=0.054506 | λ_pde=3.360e-02 | LR=2.50e-03
[2026-01-28 17:35:38][INFO] [Epoch 092] Loss=0.066311 | PDE=0.052052 | λ_pde=3.261e-02 | LR=2.50e-03
[2026-01-28 17:38:13][INFO] [Epoch 093] Loss=0.065997 | PDE=0.053165 | λ_pde=3.165e-02 | LR=2.50e-03
[2026-01-28 17:40:48][INFO] [Epoch 094] Loss=0.065844 | PDE=0.054994 | λ_pde=3.071e-02 | LR=2.50e-03
[2026-01-28 17:43:22][INFO] [Epoch 095] Loss=0.066796 | PDE=0.064497 | λ_pde=2.980e-02 | LR=2.50e-03
[2026-01-28 17:45:57][INFO] [Epoch 096] Loss=0.066330 | PDE=0.063190 | λ_pde=2.892e-02 | LR=2.50e-03
[2026-01-28 17:48:30][INFO] [Epoch 097] Loss=0.066076 | PDE=0.065680 | λ_pde=2.807e-02 | LR=2.50e-03
[2026-01-28 17:51:07][INFO] [Epoch 098] Loss=0.065571 | PDE=0.065641 | λ_pde=2.724e-02 | LR=2.50e-03
[2026-01-28 17:53:42][INFO] [Epoch 099] Loss=0.065499 | PDE=0.066421 | λ_pde=2.643e-02 | LR=2.50e-03
[2026-01-28 17:56:16][INFO] [Epoch 100] Loss=0.065356 | PDE=0.070710 | λ_pde=2.565e-02 | LR=2.50e-03
[2026-01-28 17:58:49][INFO] [Epoch 101] Loss=0.065114 | PDE=0.071865 | λ_pde=2.489e-02 | LR=2.50e-03
[2026-01-28 18:01:30][INFO] [Epoch 102] Loss=0.065235 | PDE=0.077129 | λ_pde=2.416e-02 | LR=2.50e-03
[2026-01-28 18:04:03][INFO] [Epoch 103] Loss=0.065382 | PDE=0.080248 | λ_pde=2.344e-02 | LR=2.50e-03
[2026-01-28 18:06:39][INFO] [Epoch 104] Loss=0.065385 | PDE=0.085948 | λ_pde=2.275e-02 | LR=2.50e-03
[2026-01-28 18:09:17][INFO] [Epoch 105] Loss=0.065338 | PDE=0.086926 | λ_pde=2.208e-02 | LR=2.50e-03
[2026-01-28 18:11:53][INFO] [Epoch 106] Loss=0.065020 | PDE=0.088679 | λ_pde=2.143e-02 | LR=2.50e-03
[2026-01-28 18:14:25][INFO] [Epoch 107] Loss=0.064732 | PDE=0.092077 | λ_pde=2.079e-02 | LR=2.50e-03
[2026-01-28 18:17:04][INFO] [Epoch 108] Loss=0.065110 | PDE=0.101919 | λ_pde=2.018e-02 | LR=2.50e-03
[2026-01-28 18:19:43][INFO] [Epoch 109] Loss=0.065096 | PDE=0.104627 | λ_pde=1.958e-02 | LR=2.50e-03
[2026-01-28 18:22:15][INFO] [Epoch 110] Loss=0.064520 | PDE=0.104208 | λ_pde=1.900e-02 | LR=2.50e-03
[2026-01-28 18:24:53][INFO] [Epoch 111] Loss=0.064255 | PDE=0.106502 | λ_pde=1.844e-02 | LR=2.50e-03
[2026-01-28 18:27:29][INFO] [Epoch 112] Loss=0.064221 | PDE=0.114255 | λ_pde=1.790e-02 | LR=2.50e-03
[2026-01-28 18:30:07][INFO] [Epoch 113] Loss=0.064206 | PDE=0.116321 | λ_pde=1.737e-02 | LR=2.50e-03
[2026-01-28 18:32:42][INFO] [Epoch 114] Loss=0.064119 | PDE=0.123759 | λ_pde=1.685e-02 | LR=2.50e-03
[2026-01-28 18:35:17][INFO] [Epoch 115] Loss=0.064337 | PDE=0.129922 | λ_pde=1.636e-02 | LR=2.50e-03
[2026-01-28 18:37:52][INFO] [Epoch 116] Loss=0.063888 | PDE=0.129311 | λ_pde=1.587e-02 | LR=2.50e-03
[2026-01-28 18:40:27][INFO] [Epoch 117] Loss=0.063743 | PDE=0.135880 | λ_pde=1.540e-02 | LR=2.50e-03
[2026-01-28 18:43:00][INFO] [Epoch 118] Loss=0.064127 | PDE=0.146664 | λ_pde=1.495e-02 | LR=2.50e-03
[2026-01-28 18:45:37][INFO] [Epoch 119] Loss=0.064179 | PDE=0.150664 | λ_pde=1.451e-02 | LR=2.50e-03
[2026-01-28 18:47:55][INFO] [Epoch 120] Loss=0.063429 | PDE=0.149201 | λ_pde=1.408e-02 | LR=2.50e-03
[2026-01-28 18:47:55][INFO] 训练结束，模型已保存至: /data/sda/zjc/comsol_pinn/checkpoints/M04b/exp02/M04b_pinn.pt
[2026-01-28 18:47:55][INFO] ========== 训练结束 ==========
